size,PDL,No PDL
8388608.000000,1767.449952,1739.537443
16777216.000000,1835.292730,1821.822993
33554432.000000,1865.616061,1859.099325
67108864.000000,1880.186481,1877.334287
134217728.000000,1883.022823,1882.199014
