size,PDL,No PDL
8388608.000000,1777.798396,1753.838359
16777216.000000,1838.763135,1825.789213
33554432.000000,1871.744839,1863.682340
67108864.000000,1882.969285,1880.094860
134217728.000000,1886.808809,1884.572385
